project_code,band_predictions,probabilties
2017.1.01077.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.93640878132229e-09, 0.49216686169960167, 0.003820827622285397, 6.234615345947975e-05, 0.4342280268134869, 0.06931135370506576, 0.0003628662816753258, 4.735765913245942e-05, 3.5212888846043616e-07]"
2023.1.00713.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.588089657836258e-10, 0.4107522705835668, 0.0066577256703814055, 0.00018151840123962633, 0.41047974943398136, 0.17033488452727505, 0.001558687646730077, 3.503767196528983e-05, 1.2530605340967898e-07]"
2012.1.01022.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.358494875048108e-10, 0.5692744646383965, 0.0026182908015177637, 7.313106603606701e-05, 0.28969006870487074, 0.13789420567496583, 0.0004039659177816333, 4.577316934317425e-05, 9.92912438568091e-08]"
2019.2.00033.S,"[1, 10, 9, 5, 4, 8, 7, 6, 3]","[5.084564903623875e-10, 0.6288195159624921, 0.0032170539235660224, 2.5702703711991032e-05, 0.2845695214637468, 0.07366327843126232, 0.009695813131339506, 9.05910659276757e-06, 5.476883457102987e-08]"
2022.1.01365.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.894104347468322e-09, 0.11382700132117664, 0.0016592385699414581, 6.223026771148192e-05, 0.6290192870769679, 0.25518438744102273, 0.0002072079932386633, 4.032082425303226e-05, 3.1961158342748097e-07]"
2013.1.00171.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.4895436798192807e-09, 0.3871175474100278, 0.009793758748453712, 0.0004284325657162184, 0.5475468126501384, 0.054071071386406634, 0.0010316939865716431, 1.0339705831848325e-05, 3.4005730976826997e-07]"
2013.1.00350.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[5.616187854385676e-09, 0.6186531697956039, 0.005806981468530757, 0.00037453635746398313, 0.2660427345347465, 0.1062344400289709, 0.002838554439363188, 4.855475388380518e-05, 1.0230052467527044e-06]"
2018.1.00045.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[3.987703783623871e-08, 0.05632736112373329, 0.0070855535470605285, 0.0001876397364933578, 0.5827407482071714, 0.3522393866682401, 0.0010417409292582972, 0.00037573302163836244, 1.7968893692429009e-06]"
2022.1.00225.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.8402219762670561e-09, 0.04729205766672268, 0.001150410266414175, 4.254561306665998e-05, 0.8400599000965294, 0.11127398559579768, 0.0001628608740964216, 1.8105282751044797e-05, 1.3276440097948312e-07]"
2019.1.00245.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.1227761338350258e-08, 0.14840078183757527, 0.0013153109520929994, 7.328200066600614e-05, 0.7139905511537196, 0.1357247000894898, 0.00046635681719320543, 2.851002566773119e-05, 4.958958365978637e-07]"
2012.1.00550.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.922118227910916e-11, 0.12772193878494803, 0.0008954105484296651, 8.532591812992796e-06, 0.7338194003489462, 0.13746312362294838, 9.00273060194616e-05, 1.5605726840076529e-06, 6.194989974041309e-09]"
2019.1.00851.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.181604622524623e-09, 0.38708961608036685, 0.005476619468064472, 9.02515909164663e-05, 0.3970980725250335, 0.20929967712520572, 0.0009226407410705524, 2.3033845700955034e-05, 8.744203352095292e-08]"
2022.1.01232.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.5060051856177646e-09, 0.40721829556978484, 0.002705653894752387, 0.00014578254614903486, 0.4999618056870748, 0.0887039703622411, 0.0012326060764580012, 3.1718447593833217e-05, 1.649099441741745e-07]"
2013.1.00033.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[6.927620139003403e-09, 0.2941747569522374, 0.0029493444392448575, 0.00016466027408457688, 0.4789766927061508, 0.22285918912686672, 0.000847002440668039, 2.7908031935473086e-05, 4.3910118761263545e-07]"
2013.1.00210.S,"[1, 10, 9, 5, 4, 8, 7, 6, 3]","[1.1301523906229561e-08, 0.45984854406855996, 0.0025655774831152664, 0.00016674974629061795, 0.3512697261195151, 0.18268041846525612, 0.0033935312506754886, 7.4661475943977e-05, 7.800891185518838e-07]"
2016.1.00461.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[5.851864103898526e-09, 0.6251080297196383, 0.004301880846828825, 6.956034315733469e-05, 0.31434227665220693, 0.05532531860207466, 0.000837212269865824, 1.5489778087091374e-05, 2.2593627247202766e-07]"
2022.1.01740.V,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.4674569948129416e-07, 0.24942693472737273, 0.009487600592941807, 0.0006454017319633877, 0.5969071405314307, 0.14035844645156695, 0.0028191826925134944, 0.00034838578501263106, 6.760741499503297e-06]"
2011.0.00399.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.3173928829467621e-08, 0.07812486029695188, 0.0068621680181974965, 0.00025404850353308235, 0.4718659394025735, 0.4417396836710421, 0.0009674547362562218, 0.0001845323999720326, 1.299797542249439e-06]"
